Core,Power,Frequency,Temperature,Utilization,InThrottleMode
0,0.763216,1000,62.25,0.236295,0
0,1.59371,2000,62.9,0.205423,0
0,2.7115,3000,72.42,0.179083,0
0,4.35332,4000,90.01,0.171585,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.760042,1000,62.03,0.234962,0
0,1.57772,2000,62.59,0.201288,0
0,2.70775,3000,72.28,0.178699,0
0,4.35039,4000,89.9,0.17135,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.755002,1000,61.93,0.231267,0
0,1.58977,2000,62.73,0.204248,0
0,2.72085,3000,72.45,0.179986,0
0,4.34547,4000,89.9,0.171233,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.757023,1000,61.96,0.232775,0
0,1.57758,2000,62.58,0.20145,0
0,2.69569,3000,72.09,0.177179,0
0,4.3393,4000,89.73,0.170765,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.756951,1000,61.9,0.232558,0
0,1.57698,2000,62.56,0.201613,0
0,2.70317,3000,72.19,0.17819,0
0,4.32989,4000,89.58,0.170068,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.756642,1000,61.86,0.232342,0
0,1.58024,2000,62.57,0.202102,0
0,2.68877,3000,72.02,0.176678,0
0,4.35616,4000,89.88,0.171585,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.758506,1000,61.96,0.233645,0
0,1.59042,2000,62.74,0.204583,0
0,2.70029,3000,72.21,0.178063,0
0,4.33411,4000,89.73,0.170648,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.757292,1000,61.91,0.232992,0
0,1.58687,2000,62.66,0.203252,0
0,2.6955,3000,72.15,0.177557,0
0,4.29377,4000,89.22,0.16835,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.754623,1000,61.75,0.231054,0
0,1.58127,2000,62.56,0.202593,0
0,2.69803,3000,72.1,0.177557,0
0,4.3439,4000,89.76,0.170999,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.754993,1000,61.88,0.231267,0
0,1.57275,2000,62.51,0.200642,0
0,2.69492,3000,72.04,0.177054,0
0,4.37048,4000,90.11,0.172652,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.755829,1000,61.98,0.231911,0
0,1.57858,2000,62.6,0.201776,0
0,2.71258,3000,72.34,0.17934,0
0,4.32741,4000,89.62,0.169952,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.756001,1000,61.87,0.231911,0
0,1.57075,2000,62.46,0.19984,0
0,2.68201,3000,71.92,0.176056,0
0,4.30135,4000,89.16,0.16835,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.755468,1000,61.74,0.231696,0
0,1.58197,2000,62.55,0.202593,0
0,2.68439,3000,71.96,0.176305,0
0,4.31418,4000,89.38,0.169377,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.753474,1000,61.76,0.230203,0
0,1.57221,2000,62.42,0.19984,0
0,2.70291,3000,72.14,0.178063,0
